"","year","obs_prec","obs_temp","flow"
"1",1980,NA,NA,NA
"2",1981,16.37,48.6608333333333,4.5043166307122
"3",1982,18.16,45.905,6.38383569852288
"4",1983,19.86,44.9425,8.69166952162052
"5",1984,18.93,43.1083333333333,6.33368092368863
"6",1985,19.36,44.1375,4.36105215198006
"7",1986,14.52,46.3858333333333,4.68001290401714
"8",1987,15.97,46.5033333333333,4.3309725215579
"9",1988,16.65,46.0141666666667,5.07832617416899
"10",1989,12.53,46.08,3.8695489826509
"11",1990,18.41,45.925,5.23857460920701
"12",1991,19.67,46.0758333333333,6.24860520194603
"13",1992,12.57,47.3133333333333,4.86288870375238
"14",1993,18.17,44.4158333333333,4.92267504269387
"15",1994,14.41,47.045,2.635
"16",1995,21.22,46.295,10.70416667
"17",1996,16.17,45.6691666666667,8.0525
"18",1997,18.92,45.2266666666667,9.7425
"19",1998,10.66,46.1541666666667,19.65666667
"20",1999,17.44,46.2991666666667,37.1425
"21",2000,12.7,49.1008333333333,6.893583333
"22",2001,14.45,45.9266666666667,4.058333333
"23",2002,8.95,46.9883333333333,2.604
"24",2003,13.76,46.9175,2.036333333
"25",2004,13.48,47.2883333333333,1.328666667
"26",2005,15.7,47.7116666666667,2.055583333
"27",2006,12.38,47.6883333333333,1.66425
"28",2007,14.33,47.14,1.81925
"29",2008,16.59,45.3341666666667,2.7695
"30",2009,16.32,46.1783333333333,4.0475
"31",2010,17.41,44.73,20.45166667
"32",2011,18.18,46.2833333333333,8.120833333
"33",2012,11.46,48.6658333333333,2.411083333
"34",2013,17.1,46.3375,4.379666667
"35",2014,18.2,45.4558333333333,29.37166667
"36",2015,16.12,48.0466666666667,32.695
"37",2016,17.42,47.9925,40.05916667
"38",2017,14.1,48.595,9.490833333
"39",2018,15.81,48.0458333333333,6.168888889
